date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:29:28	282/282	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:27%20GMT	http://purl.org/ontology/bibo/Periodical	/home/dmk/websites/TemplateFoot02/purl.org/ontology/bibo/Periodical.b4f.delayed	(from http://schema.org/Periodical)
02:29:28	6348/6348	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:29:28%20GMT	http://schema.org/album	/home/dmk/websites/TemplateFoot02/schema.org/album.html	(from http://schema.org/MusicAlbum)
02:29:28	6393/6393	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:29:28%20GMT	http://schema.org/albums	/home/dmk/websites/TemplateFoot02/schema.org/albums.html	(from http://schema.org/MusicAlbum)
02:29:29	277/277	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:29%20GMT	http://purl.org/ontology/bibo/Issue	/home/dmk/websites/TemplateFoot02/purl.org/ontology/bibo/Issue.b52.delayed	(from http://schema.org/PublicationIssue)
02:29:30	281/281	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:30%20GMT	http://purl.org/ontology/bibo/pageStart	/home/dmk/websites/TemplateFoot02/purl.org/ontology/bibo/pageStart.b53.delayed	(from http://schema.org/pageStart)
02:29:30	279/279	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:30%20GMT	http://purl.org/ontology/bibo/pageEnd	/home/dmk/websites/TemplateFoot02/purl.org/ontology/bibo/pageEnd.b54.delayed	(from http://schema.org/pageEnd)
02:29:31	277/277	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:30%20GMT	http://purl.org/ontology/bibo/pages	/home/dmk/websites/TemplateFoot02/purl.org/ontology/bibo/pages.b55.delayed	(from http://schema.org/pagination)
02:29:31	277/277	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:31%20GMT	http://purl.org/ontology/bibo/issue	/home/dmk/websites/TemplateFoot02/purl.org/ontology/bibo/issue.b56.delayed	(from http://schema.org/issueNumber)
02:29:32	278/278	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:31%20GMT	http://purl.org/ontology/bibo/volume	/home/dmk/websites/TemplateFoot02/purl.org/ontology/bibo/volume.b57.delayed	(from http://schema.org/volumeNumber)
02:29:32	280/280	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20May%202016%2001:29:32%20GMT	http://purl.org/dc/dcmitype/Dataset	/home/dmk/websites/TemplateFoot02/purl.org/dc/dcmitype/Dataset.b58.delayed	(from http://schema.org/Dataset)
